pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Godwin,SB1,0.7,BP_C_production_Thymidine,A,Godwin_SB1_0.7_BP_C_production_Thymidine_A,1.61E+03,ngC/L/d,
Godwin,SB1,0.7,BP_C_production_Leucine,A,Godwin_SB1_0.7_BP_C_production_Leucine_A,9.11E+02,ngC/L/d,
Godwin,SB14,0.7,BP_Thymidine_Incorporation,A,Godwin_SB14_0.7_BP_Thymidine_Incorporation_A,6.48E-02,nmol_thymidine_L_day,
Godwin,SB14,0.7,BP_Leucine_Incorporation,A,Godwin_SB14_0.7_BP_Leucine_Incorporation_A,9.75E-01,nmol_leucine_L_day,
Godwin,SB14,0.7,BP_C_production_Thymidine,A,Godwin_SB14_0.7_BP_C_production_Thymidine_A,1.42E+03,ngC/L/d,
Godwin,SB14,0.7,BP_C_production_Leucine,A,Godwin_SB14_0.7_BP_C_production_Leucine_A,1.50E+03,ngC/L/d,
Twiss,U17,0,BP_Thymidine_Incorporation,A,Twiss_U17_0_BP_Thymidine_Incorporation_A,1.93E-02,nmol_thymidine_L_day,
Twiss,U17,0,BP_Leucine_Incorporation,A,Twiss_U17_0_BP_Leucine_Incorporation_A,1.48E+00,nmol_leucine_L_day,
Twiss,U17,0,BP_C_production_Thymidine,A,Twiss_U17_0_BP_C_production_Thymidine_A,4.25E+02,ngC/L/d,
Twiss,U17,0,BP_C_production_Leucine,A,Twiss_U17_0_BP_C_production_Leucine_A,2.28E+03,ngC/L/d,
Vanderploeg,WE6,0.25,BP_Leucine_Incorporation,A,Vanderploeg_WE6_0.25_BP_Leucine_Incorporation_A,6.90E+00,nmol_leucine_L_day,
Vanderploeg,WE6,0.25,BP_C_production_Leucine,A,Vanderploeg_WE6_0.25_BP_C_production_Leucine_A,1.06E+04,ngC/L/d,
Vanderploeg,WE6,0.25,BP_Thymidine_Incorporation,A,Vanderploeg_WE6_0.25_BP_Thymidine_Incorporation_A,1.00E-01,nmol_thymidine_L_day,
Vanderploeg,WE6,0.25,BP_C_production_Thymidine,A,Vanderploeg_WE6_0.25_BP_C_production_Thymidine_A,2.21E+03,ngC/L/d,
Doubek,Whitefish_Bay_WB-LS,1,BP_Thymidine_Incorporation,A,Doubek_Whitefish_Bay_WB-LS_1_BP_Thymidine_Incorporation_A,3.11E-02,nmol_thymidine_L_day,
Doubek,Whitefish_Bay_WB-LS,1,BP_Leucine_Incorporation,A,Doubek_Whitefish_Bay_WB-LS_1_BP_Leucine_Incorporation_A,2.95E-01,nmol_leucine_L_day,
Doubek,Whitefish_Bay_WB-LS,1,BP_C_production_Thymidine,A,Doubek_Whitefish_Bay_WB-LS_1_BP_C_production_Thymidine_A,6.84E+02,ngC/L/d,
Doubek,Whitefish_Bay_WB-LS,1,BP_C_production_Leucine,A,Doubek_Whitefish_Bay_WB-LS_1_BP_C_production_Leucine_A,4.54E+02,ngC/L/d,
