pi_name,station,depth_m,analysis,rep,sample_name,value,unit,mdl_ug.l,notes
McKay/Bullerjahn,NB22-002,0.5,TDP,A,McKay/Bullerjahn_NB22-002_0.5_TDP_A,0,ug.L,0.6,below detection
McKay/Bullerjahn,NB22-002,0.5,TDP,B,McKay/Bullerjahn_NB22-002_0.5_TDP_B,0,ug.L,0.6,below detection
McKay/Bullerjahn,NB22-002,0.5,TDP,C,McKay/Bullerjahn_NB22-002_0.5_TDP_C,0,ug.L,0.6,below detection
McKay/Bullerjahn,NB22-003,0.5,TDP,A,McKay/Bullerjahn_NB22-003_0.5_TDP_A,15.39,ug.L,0.6,
McKay/Bullerjahn,NB22-003,0.5,TDP,B,McKay/Bullerjahn_NB22-003_0.5_TDP_B,15.61,ug.L,0.6,
McKay/Bullerjahn,NB22-003,0.5,TDP,C,McKay/Bullerjahn_NB22-003_0.5_TDP_C,14.77,ug.L,0.6,
McKay/Bullerjahn,NB22-004,0.5,TDP,A,McKay/Bullerjahn_NB22-004_0.5_TDP_A,0,ug.L,0.6,below detection
McKay/Bullerjahn,NB22-004,0.5,TDP,B,McKay/Bullerjahn_NB22-004_0.5_TDP_B,0,ug.L,0.6,below detection
McKay/Bullerjahn,NB22-004,0.5,TDP,C,McKay/Bullerjahn_NB22-004_0.5_TDP_C,0,ug.L,0.6,below detection
McKay,NB22-005,0.5,TDP,A,McKay_NB22-005_0.5_TDP_A,10.22,ug.L,0.6,
McKay,NB22-005,0.5,TDP,B,McKay_NB22-005_0.5_TDP_B,9.29,ug.L,0.6,
McKay,NB22-005,0.5,TDP,C,McKay_NB22-005_0.5_TDP_C,8.02,ug.L,0.6,
McKay,NB22-006,0.5,TDP,A,McKay_NB22-006_0.5_TDP_A,9.11,ug.L,0.6,
McKay,NB22-006,0.5,TDP,B,McKay_NB22-006_0.5_TDP_B,7.26,ug.L,0.6,
McKay,NB22-006,0.5,TDP,C,McKay_NB22-006_0.5_TDP_C,6.92,ug.L,0.6,
McKay,NB22-007,0.5,TDP,A,McKay_NB22-007_0.5_TDP_A,7.8,ug.L,0.6,
McKay,NB22-007,0.5,TDP,B,McKay_NB22-007_0.5_TDP_B,6.13,ug.L,0.6,
McKay,NB22-007,0.5,TDP,C,McKay_NB22-007_0.5_TDP_C,7.2,ug.L,0.6,
Bramburger,Ontario_-_St._Catharines,1,TDP,A,Bramburger_Ontario_-_St._Catharines_1_TDP_A,15.15,ug.L,0.6,
Bramburger,Ontario_-_St._Catharines,1,TDP,B,Bramburger_Ontario_-_St._Catharines_1_TDP_B,14.59,ug.L,0.6,
Bramburger,Ontario_-_St._Catharines,1,TDP,C,Bramburger_Ontario_-_St._Catharines_1_TDP_C,14.4,ug.L,0.6,
Depew,Parry_Sound_Georgian_Bay,1,TDP,A,Depew_Parry_Sound_Georgian_Bay_1_TDP_A,8.69,ug.L,0.6,
Depew,Parry_Sound_Georgian_Bay,1,TDP,B,Depew_Parry_Sound_Georgian_Bay_1_TDP_B,34.4,ug.L,0.6,
Depew,Parry_Sound_Georgian_Bay,1,TDP,C,Depew_Parry_Sound_Georgian_Bay_1_TDP_C,7.54,ug.L,0.6,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,TDP,A,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_TDP_A,6.26,ug.L,0.6,
