pi_name,station,depth_m,analysis,sample_name,taxon,count_cell_ml-1,notes
Vick-Majors,Keweenaw_Waterway_KW,0,ciliated_protist_abundance,Vick-Majors_Keweenaw_Waterway_KW_0_ciliated_protist_abundance,TOTAL_cell_mL-1,0.02,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Cyclidium_spp_cell_mL-1,0.01,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Gymnodinium_helveticum_cell_mL-1,0,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Gymnodinium_Sp1_cell_mL-1,0,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Gymnodinium_varians_cell_mL-1,0,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Halteria_Sp1_cell_mL-1,0,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Mallomonas_pseudocoronata_cell_mL-1,0,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Mesodinium_Sp2_cell_mL-1,0,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Monodinium_Sp1_cell_mL-1,0,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Pelagohalteria_Sp1_cell_mL-1,0,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Peridinium_inconspicum_cell_mL-1,0.01,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Strombidum_Sp1_cell_mL-1,0,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Strobilidium_Sp1_cell_mL-1,0.01,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Titinnidium_spp_cell_mL-1,0,
Bramburger,Ontario_-_St._Catharines,1,ciliated_protist_abundance,Bramburger_Ontario_-_St._Catharines_1_ciliated_protist_abundance,Urotricha_farcta_cell_mL-1,0.02,
