pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Godwin,SB14,0.7,chloride,B,Godwin_SB14_0.7_chloride_B,31.03795393,ppm,
Godwin,SB14,3,chloride,A,Godwin_SB14_3_chloride_A,31.85006517,ppm,
Godwin,SB14,3,chloride,B,Godwin_SB14_3_chloride_B,32.40324363,ppm,
Godwin,SB1,0.7,chloride,A,Godwin_SB1_0.7_chloride_A,37.5105,ppm,
Godwin,SB1,0.7,chloride,B,Godwin_SB1_0.7_chloride_B,38.99228759,ppm,
Chaffin,South_Bass_Island,0.5,chloride,A,Chaffin_South_Bass_Island_0.5_chloride_A,19.49767118,ppm,
Chaffin,South_Bass_Island,0.5,chloride,B,Chaffin_South_Bass_Island_0.5_chloride_B,19.7511034,ppm,
Chaffin,South_Bass_Island,9,chloride,A,Chaffin_South_Bass_Island_9_chloride_A,19.41391848,ppm,
Chaffin,South_Bass_Island,9,chloride,B,Chaffin_South_Bass_Island_9_chloride_B,19.7511034,ppm,
Rennie,Silver_Harbour_Thunder_Bay,0,chloride,A,Rennie_Silver_Harbour_Thunder_Bay_0_chloride_A,2.958858059,ppm,
Rennie,Silver_Harbour_Thunder_Bay,0,chloride,B,Rennie_Silver_Harbour_Thunder_Bay_0_chloride_B,3.224890225,ppm,
Rennie,Silver_Harbour_Thunder_Bay,10,chloride,A,Rennie_Silver_Harbour_Thunder_Bay_10_chloride_A,3.35228395,ppm,
Rennie,Silver_Harbour_Thunder_Bay,10,chloride,B,Rennie_Silver_Harbour_Thunder_Bay_10_chloride_B,3.238802577,ppm,
Doubek,Saint_Martin_Bay_SM-LH,1,chloride,A,Doubek_Saint_Martin_Bay_SM-LH_1_chloride_A,11.09361207,ppm,
Doubek,Saint_Martin_Bay_SM-LH,1,chloride,B,Doubek_Saint_Martin_Bay_SM-LH_1_chloride_B,2.920892081,ppm,
Doubek,Saint_Martin_Bay_SM-LH,8.5,chloride,A,Doubek_Saint_Martin_Bay_SM-LH_8.5_chloride_A,11.58159508,ppm,
Doubek,Saint_Martin_Bay_SM-LH,8.5,chloride,B,Doubek_Saint_Martin_Bay_SM-LH_8.5_chloride_B,11.2862882,ppm,
Twiss,U17,0,chloride,A,Twiss_U17_0_chloride_A,29.09711838,ppm,
Twiss,U17,0,chloride,B,Twiss_U17_0_chloride_B,28.11212397,ppm,
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,chloride,A,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_chloride_A,38.49196608,ppm,
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,chloride,B,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_chloride_B,38.99228759,ppm,
Doubek,Whitefish_Bay_WB-LS,1,chloride,A,Doubek_Whitefish_Bay_WB-LS_1_chloride_A,3.010248112,ppm,
Doubek,Whitefish_Bay_WB-LS,1,chloride,B,Doubek_Whitefish_Bay_WB-LS_1_chloride_B,nd,ppm,craked no sample
Doubek,Whitefish_Bay_WB-LS,9,chloride,A,Doubek_Whitefish_Bay_WB-LS_9_chloride_A,3.323546178,ppm,
Doubek,Whitefish_Bay_WB-LS,9,chloride,B,Doubek_Whitefish_Bay_WB-LS_9_chloride_B,3.545233304,ppm,
Vanderploeg,WE6,0.25,chloride,A,Vanderploeg_WE6_0.25_chloride_A,28.84768058,ppm,
Vanderploeg,WE6,0.25,chloride,B,Vanderploeg_WE6_0.25_chloride_B,29.6024831,ppm,
Vanderploeg,WE6,2.7,chloride,A,Vanderploeg_WE6_2.7_chloride_A,41.23658933,ppm,
Vanderploeg,WE6,2.7,chloride,B,Vanderploeg_WE6_2.7_chloride_B,38.65802251,ppm,
