pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Doubek,Saint_Martin_Bay_SM-LH,1,micro_fc,1,Doubek_Saint_Martin_Bay_SM-LH_1_micro_fc_1,1.15E+06,cells_mL-1,
Doubek,Saint_Martin_Bay_SM-LH,1,micro_fc,2,Doubek_Saint_Martin_Bay_SM-LH_1_micro_fc_2,1.10E+06,cells_mL-1,
Doubek,Saint_Martin_Bay_SM-LH,1,micro_fc,3,Doubek_Saint_Martin_Bay_SM-LH_1_micro_fc_3,9.83E+05,cells_mL-1,
Doubek,Saint_Martin_Bay_SM-LH,8.5,micro_fc,1,Doubek_Saint_Martin_Bay_SM-LH_8.5_micro_fc_1,5.86E+05,cells_mL-1,
Doubek,Saint_Martin_Bay_SM-LH,8.5,micro_fc,2,Doubek_Saint_Martin_Bay_SM-LH_8.5_micro_fc_2,6.85E+05,cells_mL-1,
Doubek,Saint_Martin_Bay_SM-LH,8.5,micro_fc,3,Doubek_Saint_Martin_Bay_SM-LH_8.5_micro_fc_3,6.41E+05,cells_mL-1,
Doubek,Whitefish_Bay_WB-LS,1,micro_fc,1,Doubek_Whitefish_Bay_WB-LS_1_micro_fc_1,5.08E+05,cells_mL-1,
Doubek,Whitefish_Bay_WB-LS,1,micro_fc,2,Doubek_Whitefish_Bay_WB-LS_1_micro_fc_2,6.08E+05,cells_mL-1,
Doubek,Whitefish_Bay_WB-LS,1,micro_fc,3,Doubek_Whitefish_Bay_WB-LS_1_micro_fc_3,1.04E+06,cells_mL-1,low confidence
Doubek,Whitefish_Bay_WB-LS,9,micro_fc,1,Doubek_Whitefish_Bay_WB-LS_9_micro_fc_1,1.29E+06,cells_mL-1,
Doubek,Whitefish_Bay_WB-LS,9,micro_fc,2,Doubek_Whitefish_Bay_WB-LS_9_micro_fc_2,5.75E+05,cells_mL-1,
Doubek,Whitefish_Bay_WB-LS,9,micro_fc,3,Doubek_Whitefish_Bay_WB-LS_9_micro_fc_3,4.42E+05,cells_mL-1,
Eveleth,Lorain,0.2,micro_fc,1,Eveleth_Lorain_0.2_micro_fc_1,3.77E+06,cells_mL-1,
Eveleth,Lorain,0.2,micro_fc,2,Eveleth_Lorain_0.2_micro_fc_2,3.28E+06,cells_mL-1,
Eveleth,Lorain,0.2,micro_fc,3,Eveleth_Lorain_0.2_micro_fc_3,2.95E+06,cells_mL-1,
Eveleth,Lorain,2,micro_fc,1,Eveleth_Lorain_2_micro_fc_1,3.27E+06,cells_mL-1,
Eveleth,Lorain,2,micro_fc,2,Eveleth_Lorain_2_micro_fc_2,3.73E+06,cells_mL-1,
Eveleth,Lorain,2,micro_fc,3,Eveleth_Lorain_2_micro_fc_3,2.91E+06,cells_mL-1,
Godwin,SB1,0.7,micro_fc,1,Godwin_SB1_0.7_micro_fc_1,1.89E+06,cells_mL-1,
Godwin,SB1,0.7,micro_fc,2,Godwin_SB1_0.7_micro_fc_2,1.82E+06,cells_mL-1,
Godwin,SB1,0.7,micro_fc,3,Godwin_SB1_0.7_micro_fc_3,2.21E+06,cells_mL-1,low confidence
Godwin,SB14,3,micro_fc,1,Godwin_SB14_3_micro_fc_1,2.10E+06,cells_mL-1,
Godwin,SB14,3,micro_fc,2,Godwin_SB14_3_micro_fc_2,2.12E+06,cells_mL-1,
Godwin,SB14,3,micro_fc,3,Godwin_SB14_3_micro_fc_3,1.39E+06,cells_mL-1,
Godwin,SB14,0.7,micro_fc,1,Godwin_SB14_0.7_micro_fc_1,3.14E+06,cells_mL-1,
Godwin,SB14,0.7,micro_fc,2,Godwin_SB14_0.7_micro_fc_2,1.88E+06,cells_mL-1,
Godwin,SB14,0.7,micro_fc,3,Godwin_SB14_0.7_micro_fc_3,1.47E+06,cells_mL-1,
Karpovich,Saginaw_River,0.3,micro_fc,1,Karpovich_Saginaw_River_0.3_micro_fc_1,6.36E+06,cells_mL-1,
Karpovich,Saginaw_River,0.3,micro_fc,2,Karpovich_Saginaw_River_0.3_micro_fc_2,4.90E+06,cells_mL-1,
Mcgregor,BI_Birch_Island,0,micro_fc,1,Mcgregor_BI_Birch_Island_0_micro_fc_1,8.95E+05,cells_mL-1,
Mcgregor,BI_Birch_Island,0,micro_fc,2,Mcgregor_BI_Birch_Island_0_micro_fc_2,1.60E+06,cells_mL-1,
McGregor,BI_Birch_Island,0,micro_fc,3,McGregor_BI_Birch_Island_0_micro_fc_3,1.79E+06,cells_mL-1,
Mcgregor,LC_Little_Current,0,micro_fc,1,Mcgregor_LC_Little_Current_0_micro_fc_1,9.72E+05,cells_mL-1,
Mcgregor,LC_Little_Current,0,micro_fc,2,Mcgregor_LC_Little_Current_0_micro_fc_2,9.06E+05,cells_mL-1,
