pi_name,station,depth_m,analysis,sample_name,taxon,count_cell_l-1,notes
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Spiniferomonas_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Stelexomonas_dichotoma_JLackey_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Synura_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Achnanthidium_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Asterionella_formosa_Hassall_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Aulacoseira_ambigua_Grunow_Simonsen_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Aulacoseira_distans_Ehrenb_Simonsen_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Aulacoseira_islandica_O_Mull_Simonsen_cell_L-1,4670482,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Bacillariophyceae_spp_cell_L-1,89514,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Cocconeis_pediculus_Ehrenb_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Cyclotella_comensis_Grunow_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Cyclotella_ocellata_Pantocsek_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Cyclotella_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Diatoma_tenue_var_elongatum_Lyngb_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Diatoma_vulgaris_Bory_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Encyonema_minutum_Hilse_DGMann_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Encyonema_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Fragilaria_capucina_Desmazières_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Fragilaria_construens_Ehr_Grunow_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Fragilaria_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Gomphonema_sp_cell_L-1,0,
McKay,EC_84,0.5,phytoplankton_abundance,McKay_EC_84_0.5_phytoplankton_abundance,Navicula_sp_cell_L-1,0,
