pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Vick-Majors,Keweenaw_Waterway_KW,5,PC,A,Vick-Majors_Keweenaw_Waterway_KW_5_PC_A,7.012023976,ug/L,
Vick-Majors,Keweenaw_Waterway_KW,5,PE,A,Vick-Majors_Keweenaw_Waterway_KW_5_PE_A,28.28433338,ug/L,
Eveleth,Lorain,0.2,PC,A,Eveleth_Lorain_0.2_PC_A,1.806232338,ug/L,
Eveleth,Lorain,0.2,PE,A,Eveleth_Lorain_0.2_PE_A,6.705972498,ug/L,
Eveleth,Lorain,2,PC,A,Eveleth_Lorain_2_PC_A,1.466640972,ug/L,
Eveleth,Lorain,2,PE,A,Eveleth_Lorain_2_PE_A,8.089310596,ug/L,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,PC,A,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_PC_A,2.366567206,ug/L,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,PE,A,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_PE_A,6.39718679,ug/L,
Zastepa,RW_Ridgeway_Abino_Bay,1,PC,A,Zastepa_RW_Ridgeway_Abino_Bay_1_PC_A,2.02697584,ug/L,
Zastepa,RW_Ridgeway_Abino_Bay,1,PE,A,Zastepa_RW_Ridgeway_Abino_Bay_1_PE_A,12.10498306,ug/L,
Karpovich,Saginaw_River,0,PC,A,Karpovich_Saginaw_River_0_PC_A,0.953343418,ug/L,
Karpovich,Saginaw_River,0,PE,A,Karpovich_Saginaw_River_0_PE_A,4.610450924,ug/L,
Doubek,Saint_Martin_Bay_SM-LH,1,PC,A,Doubek_Saint_Martin_Bay_SM-LH_1_PC_A,2.469374254,ug/L,
Doubek,Saint_Martin_Bay_SM-LH,1,PE,A,Doubek_Saint_Martin_Bay_SM-LH_1_PE_A,6.876953014,ug/L,
Doubek,Saint_Martin_Bay_SM-LH,8.5,PC,A,Doubek_Saint_Martin_Bay_SM-LH_8.5_PC_A,0.763214734,ug/L,
Doubek,Saint_Martin_Bay_SM-LH,8.5,PE,A,Doubek_Saint_Martin_Bay_SM-LH_8.5_PE_A,5.237690988,ug/L,
Godwin,SB1,0.5,PC,A,Godwin_SB1_0.5_PC_A,1.628142824,ug/L,
Godwin,SB1,0.5,PE,A,Godwin_SB1_0.5_PE_A,8.074545754,ug/L,
Chaffin,South_Bass_Island,9,PC,A,Chaffin_South_Bass_Island_9_PC_A,1.289098304,ug/L,
Chaffin,South_Bass_Island,9,PE,A,Chaffin_South_Bass_Island_9_PE_A,7.622304112,ug/L,
Godwin,SB1,0,PC,A,Godwin_SB1_0_PC_A,2.852348736,ug/L,
Godwin,SB1,0,PE,A,Godwin_SB1_0_PE_A,15.92123901,ug/L,
Godwin,SB14,0,PC,A,Godwin_SB14_0_PC_A,6.430179832,ug/L,
Godwin,SB14,0,PE,A,Godwin_SB14_0_PE_A,31.16293072,ug/L,
Godwin,SB14,3.7,PC,A,Godwin_SB14_3.7_PC_A,10.13050443,ug/L,
Godwin,SB14,3.7,PE,A,Godwin_SB14_3.7_PE_A,26.65691968,ug/L,
Rennie,Silver_Harbour_Thunder_Bay,0,PC,A,Rennie_Silver_Harbour_Thunder_Bay_0_PC_A,0.73550787,ug/L,
Rennie,Silver_Harbour_Thunder_Bay,0,PE,A,Rennie_Silver_Harbour_Thunder_Bay_0_PE_A,5.847241996,ug/L,
Rennie,Silver_Harbour_Thunder_Bay,10,PC,A,Rennie_Silver_Harbour_Thunder_Bay_10_PC_A,0.85945963,ug/L,
Rennie,Silver_Harbour_Thunder_Bay,10,PE,A,Rennie_Silver_Harbour_Thunder_Bay_10_PE_A,3.519500856,ug/L,
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,PC,A,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_PC_A,1.71891926,ug/L,
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,PE,A,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_PE_A,7.039001712,ug/L,
Vanderploeg,WE-6,0,PC,A,Vanderploeg_WE-6_0_PC_A,3.8096938,ug/L,
Vanderploeg,WE-6,0,PE,A,Vanderploeg_WE-6_0_PE_A,28.27339646,ug/L,
Vanderploeg,WE-6,2.8,PC,A,Vanderploeg_WE-6_2.8_PC_A,2.539552824,ug/L,
Vanderploeg,WE-6,2.8,PE,A,Vanderploeg_WE-6_2.8_PE_A,14.46662865,ug/L,
Doubek,Whitefish_Bay_WB-LS,1,PC,A,Doubek_Whitefish_Bay_WB-LS_1_PC_A,1.80550321,ug/L,
Doubek,Whitefish_Bay_WB-LS,1,PE,A,Doubek_Whitefish_Bay_WB-LS_1_PE_A,7.163500318,ug/L,
Doubek,Whitefish_Bay_WB-LS,9,PC,A,Doubek_Whitefish_Bay_WB-LS_9_PC_A,0.970287086,ug/L,
Doubek,Whitefish_Bay_WB-LS,9,PE,A,Doubek_Whitefish_Bay_WB-LS_9_PE_A,6.396822226,ug/L,
Zastepa,WP_Waverly_Beach_Park,1,PC,A,Zastepa_WP_Waverly_Beach_Park_1_PC_A,0.728763436,ug/L,
Zastepa,WP_Waverly_Beach_Park,1,PE,A,Zastepa_WP_Waverly_Beach_Park_1_PE_A,4.186652976,ug/L,
