pi_name,station,depth_m,analysis,rep,sample_name,value,unit,notes
Pearce/Xenopolous,GB1,0.45,alkalinity,B,Pearce/Xenopolous_GB1_0.45_alkalinity_B,1667,umol/kg,
Pearce/Xenopolous,GB1,7,alkalinity,A,Pearce/Xenopolous_GB1_7_alkalinity_A,1663,umol/kg,
Pearce/Xenopolous,GB1,7,alkalinity,B,Pearce/Xenopolous_GB1_7_alkalinity_B,1664,umol/kg,
Rennie,Silver_Harbour_Thunder_Bay,0,alkalinity,A,Rennie_Silver_Harbour_Thunder_Bay_0_alkalinity_A,927,umol/kg,
Rennie,Silver_Harbour_Thunder_Bay,0,alkalinity,B,Rennie_Silver_Harbour_Thunder_Bay_0_alkalinity_B,NA,umol/kg,
Rennie,Silver_Harbour_Thunder_Bay,10,alkalinity,A,Rennie_Silver_Harbour_Thunder_Bay_10_alkalinity_A,928,umol/kg,
Rennie,Silver_Harbour_Thunder_Bay,10,alkalinity,B,Rennie_Silver_Harbour_Thunder_Bay_10_alkalinity_B,NA,umol/kg,
Twiss,U17,0,alkalinity,A,Twiss_U17_0_alkalinity_A,1947,umol/kg,
Twiss,U17,0,alkalinity,B,Twiss_U17_0_alkalinity_B,1948,umol/kg,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,alkalinity,A,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_alkalinity_A,3073,umol/kg,
Uzarski,Pinconning_Park_Saginaw_Bay,0.5,alkalinity,B,Uzarski_Pinconning_Park_Saginaw_Bay_0.5_alkalinity_B,3067,umol/kg,
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,alkalinity,A,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_alkalinity_A,3284,umol/kg,
Uzarski,Vanderbilt_Park_Saginaw_Bay,0.5,alkalinity,B,Uzarski_Vanderbilt_Park_Saginaw_Bay_0.5_alkalinity_B,3269,umol/kg,
Vanderploeg,WE6,0.25,alkalinity,A,Vanderploeg_WE6_0.25_alkalinity_A,NA,umol/kg,
Vanderploeg,WE6,0.25,alkalinity,B,Vanderploeg_WE6_0.25_alkalinity_B,NA,umol/kg,
Vanderploeg,WE6,2.7,alkalinity,A,Vanderploeg_WE6_2.7_alkalinity_A,NA,umol/kg,
Vanderploeg,WE6,2.7,alkalinity,B,Vanderploeg_WE6_2.7_alkalinity_B,NA,umol/kg,
Vick-Majors,Keweenaw_Bay_KB,0.5,alkalinity,A,Vick-Majors_Keweenaw_Bay_KB_0.5_alkalinity_A,NA,umol/kg,
Vick-Majors,Keweenaw_Bay_KB,0.5,alkalinity,B,Vick-Majors_Keweenaw_Bay_KB_0.5_alkalinity_B,NA,umol/kg,
Vick-Majors,Keweenaw_Bay_KB,17.5,alkalinity,A,Vick-Majors_Keweenaw_Bay_KB_17.5_alkalinity_A,NA,umol/kg,
Vick-Majors,Keweenaw_Bay_KB,17.5,alkalinity,B,Vick-Majors_Keweenaw_Bay_KB_17.5_alkalinity_B,NA,umol/kg,
Vick-Majors,Keweenaw_Waterway_KW,0.5,alkalinity,A,Vick-Majors_Keweenaw_Waterway_KW_0.5_alkalinity_A,989,umol/kg,
Vick-Majors,Keweenaw_Waterway_KW,0.5,alkalinity,B,Vick-Majors_Keweenaw_Waterway_KW_0.5_alkalinity_B,988,umol/kg,
Vick-Majors,Keweenaw_Waterway_KW,5.5,alkalinity,A,Vick-Majors_Keweenaw_Waterway_KW_5.5_alkalinity_A,1001,umol/kg,
Vick-Majors,Keweenaw_Waterway_KW,5.5,alkalinity,B,Vick-Majors_Keweenaw_Waterway_KW_5.5_alkalinity_B,1001,umol/kg,
Zastepa,RW_Ridgeway_Abino_Bay,1,alkalinity,A,Zastepa_RW_Ridgeway_Abino_Bay_1_alkalinity_A,NA,umol/kg,
Zastepa,RW_Ridgeway_Abino_Bay,1,alkalinity,B,Zastepa_RW_Ridgeway_Abino_Bay_1_alkalinity_B,NA,umol/kg,
Zastepa,WP_Waverly_Beach_Park,1,alkalinity,A,Zastepa_WP_Waverly_Beach_Park_1_alkalinity_A,NA,umol/kg,
Zastepa,WP_Waverly_Beach_Park,1,alkalinity,B,Zastepa_WP_Waverly_Beach_Park_1_alkalinity_B,NA,umol/kg,
