gene_symbol,gene_id,MFF.CY.1,MFF.CY.2,MFF.CY.3,MFF.DY.1,MFF.DY.2,MFF.DY.3,subcellular_locations,source_organism,normoxia_mean,hypoxia_mean,fold_change,expr_variance,organelle
dlg2,dlg2,5.634789603169249,5.929589143389895,5.666426688112432,6.194405391104672,6.100318952020064,6.1070228877422545,Postsynaptic density,7955,5.743601811557191,6.133915743622331,0.08117482450197676,0.05728315997546747,Neuronal_and_Synaptic Structures
dlg2,dlg2,5.634789603169249,5.929589143389895,5.666426688112432,6.194405391104672,6.100318952020064,6.1070228877422545,Synapse,7955,5.743601811557191,6.133915743622331,0.08117482450197676,0.05728315997546747,Neuronal_and_Synaptic Structures
vps11,vps11,8.424200324567073,8.540323608805092,8.391176350832751,8.96341629199657,8.751790892775563,8.878079256126435,Cytoplasmic vesicle,9606,8.451900094734972,8.864428813632856,0.06163113576120456,0.05804308814455815,Cytoplasm
vps11,vps11,8.424200324567073,8.540323608805092,8.391176350832751,8.96341629199657,8.751790892775563,8.878079256126435,Cytoplasmic vesicle,9606,8.451900094734972,8.864428813632856,0.06163113576120456,0.05804308814455815,Cytoplasm
vps11,vps11,8.424200324567073,8.540323608805092,8.391176350832751,8.96341629199657,8.751790892775563,8.878079256126435,autophagosome,9606,8.451900094734972,8.864428813632856,0.06163113576120456,0.05804308814455815,Endosome_and_Lysosome
vps11,vps11,8.424200324567073,8.540323608805092,8.391176350832751,8.96341629199657,8.751790892775563,8.878079256126435,Cytoplasmic vesicle,9606,8.451900094734972,8.864428813632856,0.06163113576120456,0.05804308814455815,Cytoplasm
vps11,vps11,8.424200324567073,8.540323608805092,8.391176350832751,8.96341629199657,8.751790892775563,8.878079256126435,clathrin-coated vesicle,9606,8.451900094734972,8.864428813632856,0.06163113576120456,0.05804308814455815,Vesicle
vps11,vps11,8.424200324567073,8.540323608805092,8.391176350832751,8.96341629199657,8.751790892775563,8.878079256126435,Early endosome,9606,8.451900094734972,8.864428813632856,0.06163113576120456,0.05804308814455815,Endosome_and_Lysosome
vps11,vps11,8.424200324567073,8.540323608805092,8.391176350832751,8.96341629199657,8.751790892775563,8.878079256126435,Endosome,9606,8.451900094734972,8.864428813632856,0.06163113576120456,0.05804308814455815,Endosome_and_Lysosome
vps11,vps11,8.424200324567073,8.540323608805092,8.391176350832751,8.96341629199657,8.751790892775563,8.878079256126435,Late endosome membrane,9606,8.451900094734972,8.864428813632856,0.06163113576120456,0.05804308814455815,Plasma Membrane
vps11,vps11,8.424200324567073,8.540323608805092,8.391176350832751,8.96341629199657,8.751790892775563,8.878079256126435,Lysosome membrane,9606,8.451900094734972,8.864428813632856,0.06163113576120456,0.05804308814455815,Plasma Membrane
hyou1,hyou1,8.296546520300614,8.492490578775866,8.372629740224884,8.630343289348893,8.451480648050856,8.43771698991444,Endoplasmic reticulum lumen,7955,8.387222279767121,8.506513642438064,0.0182180321558468,0.012791497095377729,ER
opcml,opcml,2.833213344056216,3.044522437723423,2.772588722239781,2.3978952727983707,2.302585092994046,3.044522437723423,Cell membrane,9606,2.883441501339807,2.581667601171947,-0.11670428057246976,0.10065068389682334,Plasma Membrane
tmem218,tmem218,6.68586094706836,6.890609120147166,6.647688373563329,6.70073110954781,6.431331081933479,6.558197802812269,Cell projection,7955,6.741386146926285,6.563419998097853,-0.03355317942665814,0.023593367181451268,Other
tmem218,tmem218,6.68586094706836,6.890609120147166,6.647688373563329,6.70073110954781,6.431331081933479,6.558197802812269,cilium,7955,6.741386146926285,6.563419998097853,-0.03355317942665814,0.023593367181451268,Cilia_and_Flagella
tmem218,tmem218,6.68586094706836,6.890609120147166,6.647688373563329,6.70073110954781,6.431331081933479,6.558197802812269,Membrane,7955,6.741386146926285,6.563419998097853,-0.03355317942665814,0.023593367181451268,Plasma Membrane
pknox2,pknox2,7.709756864454165,7.824445930877619,7.835579246669965,8.36450810375059,7.958576903813898,8.151909872940905,Nucleus,9606,7.789927347333916,8.15833162683513,0.05923356561861205,0.059147486501175225,Nucleus
robo3,robo3,2.833213344056216,0,2.772588722239781,1.6094379124341003,2.995732273553991,1.6094379124341003,Membrane,9606,1.8686006887653324,2.0715360328073973,0.0986131500292802,1.3164645282748029,Plasma Membrane
vps26bl,vps26bl,8.514188682395938,8.67812085552252,8.445267451844648,9.163667963777751,8.915432254432663,9.037771106624906,Cytoplasm,7955,8.545858996587702,9.03895710827844,0.07266247208506131,0.08482921644601246,Cytoplasm
vps26bl,vps26bl,8.514188682395938,8.67812085552252,8.445267451844648,9.163667963777751,8.915432254432663,9.037771106624906,Membrane,7955,8.545858996587702,9.03895710827844,0.07266247208506131,0.08482921644601246,Plasma Membrane
nova1,nova1,2.6390573296152584,3.5553480614894135,2.4849066497880004,3.367295829986474,3.295836866004329,3.6888794541139363,Nucleus,9606,2.8931040136308908,3.45067071670158,0.19310187654230046,0.2447442445254852,Nucleus
kptn,kptn,7.170119543449628,7.278628942320682,7.231287004327616,7.554858521040676,7.418180822726788,7.498315870766981,Cell projection,9606,7.226678496699308,7.490451738178148,0.0455312517750339,0.023943330039230697,Other
kptn,kptn,7.170119543449628,7.278628942320682,7.231287004327616,7.554858521040676,7.418180822726788,7.498315870766981,lamellipodium,9606,7.226678496699308,7.490451738178148,0.0455312517750339,0.023943330039230697,Cytoplasm
kptn,kptn,7.170119543449628,7.278628942320682,7.231287004327616,7.554858521040676,7.418180822726788,7.498315870766981,Cell projection,9606,7.226678496699308,7.490451738178148,0.0455312517750339,0.023943330039230697,Other
kptn,kptn,7.170119543449628,7.278628942320682,7.231287004327616,7.554858521040676,7.418180822726788,7.498315870766981,stereocilium,9606,7.226678496699308,7.490451738178148,0.0455312517750339,0.023943330039230697,Cytoplasm
kptn,kptn,7.170119543449628,7.278628942320682,7.231287004327616,7.554858521040676,7.418180822726788,7.498315870766981,Lysosome membrane,9606,7.226678496699308,7.490451738178148,0.0455312517750339,0.023943330039230697,Plasma Membrane
h3f3c,h3f3c,10.095676928528432,10.25839593702714,10.045421048424794,10.287729024192666,10.037712454627359,10.122823865507383,Chromosome,7955,10.133164637993454,10.14942178144247,0.0021051509867817428,0.011499780485082324,Nucleus
h3f3c,h3f3c,10.095676928528432,10.25839593702714,10.045421048424794,10.287729024192666,10.037712454627359,10.122823865507383,Nucleus,7955,10.133164637993454,10.14942178144247,0.0021051509867817428,0.011499780485082324,Nucleus
dlb,dlb,2.9444389791664403,1.3862943611198906,1.9459101490553132,0,0,2.0794415416798357,Membrane,7955,2.0922144964472147,0.6931471805599453,-0.8689330094639502,1.412963376711518,Plasma Membrane
nccrp1,nccrp1,7.0925737159746784,7.1180162044653335,6.778784897685177,7.313886831633462,6.981934677156389,7.115582126184454,Cytoplasm,7955,6.996458272708396,7.137134544991434,0.025159690883631954,0.03137476086842144,Cytoplasm
hnrnpl,hnrnpl,6.759255270663693,6.985641817639208,6.75110146893676,7.2399325913204695,6.917705609835305,7.0317412587631285,Cytoplasm,9606,6.831999519079886,7.063126486639635,0.04195867755701376,0.033792870278609166,Cytoplasm
hnrnpl,hnrnpl,6.759255270663693,6.985641817639208,6.75110146893676,7.2399325913204695,6.917705609835305,7.0317412587631285,Nucleus,9606,6.831999519079886,7.063126486639635,0.04195867755701376,0.033792870278609166,Nucleus
hnrnpl,hnrnpl,6.759255270663693,6.985641817639208,6.75110146893676,7.2399325913204695,6.917705609835305,7.0317412587631285,nucleoplasm,9606,6.831999519079886,7.063126486639635,0.04195867755701376,0.033792870278609166,Nucleus
micu2,micu2,7.993282328101591,8.230044310126114,7.9599745280805365,8.388905171114706,8.1533497579988925,8.213923595622743,Mitochondrion inner membrane,9606,8.061100388769413,8.252059508245447,0.03008828207452413,0.025598110730842626,Plasma Membrane
micu2,micu2,7.993282328101591,8.230044310126114,7.9599745280805365,8.388905171114706,8.1533497579988925,8.213923595622743,Mitochondrion intermembrane space,9606,8.061100388769413,8.252059508245447,0.03008828207452413,0.025598110730842626,ER
usp25,usp25,8.67846133901236,8.88751459738882,8.655562860681009,8.978912601074276,8.735042754269337,8.816111895794005,Cytoplasm,9606,8.74051293236073,8.843355750379207,0.01515249002727243,0.015878192954557176,Cytoplasm
usp25,usp25,8.67846133901236,8.88751459738882,8.655562860681009,8.978912601074276,8.735042754269337,8.816111895794005,Nucleus,9606,8.74051293236073,8.843355750379207,0.01515249002727243,0.015878192954557176,Nucleus
acer3,acer3,7.744569809354496,8.023552392404348,7.791935956938058,8.213923595622743,7.951559331155252,8.112827478751374,Endoplasmic reticulum membrane,9606,7.853352719565634,8.092770135176456,0.03849598210678137,0.03311513328968342,Plasma Membrane
acer3,acer3,7.744569809354496,8.023552392404348,7.791935956938058,8.213923595622743,7.951559331155252,8.112827478751374,Golgi apparatus membrane,9606,7.853352719565634,8.092770135176456,0.03849598210678137,0.03311513328968342,Plasma Membrane
tmprss2,tmprss2,0,0,0,0,0,2.5649493574615367,Cell membrane,9606,0,0.8549831191538456,0.8914060579922533,1.0964942010570584,Plasma Membrane
tmprss2,tmprss2,0,0,0,0,0,2.5649493574615367,Secreted,9606,0,0.8549831191538456,0.8914060579922533,1.0964942010570584,Extracellular_and_Secreted
acat1,acat1,8.688959234270676,8.74369111054302,8.60557030203365,8.92996487470684,8.671458150427666,8.776012719182917,Mitochondrion,7955,8.679406882282448,8.792478581439141,0.016755420378344623,0.012534582783641965,Mitochondrion
ei24,ei24,8.53050420547591,8.699181359308954,8.510369966068112,8.598220030058611,8.39615486303918,8.470520783217808,Cytoplasm,9606,8.580018510284326,8.488298558771866,-0.013879037069604909,0.011002086950941481,Cytoplasm
ei24,ei24,8.53050420547591,8.699181359308954,8.510369966068112,8.598220030058611,8.39615486303918,8.470520783217808,Endoplasmic reticulum membrane,9606,8.580018510284326,8.488298558771866,-0.013879037069604909,0.011002086950941481,Plasma Membrane
ei24,ei24,8.53050420547591,8.699181359308954,8.510369966068112,8.598220030058611,8.39615486303918,8.470520783217808,Nucleus membrane,9606,8.580018510284326,8.488298558771866,-0.013879037069604909,0.011002086950941481,Nucleus
