gene_id,MFF.CY.1,MFF.CY.2,MFF.CY.3,MFF.DY.1,MFF.DY.2,MFF.DY.3,subcellular_locations
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,Cytoplasm
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,cytoskeleton
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,cilium basal body
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,Cytoplasm
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,cytoskeleton
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,flagellum axoneme
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,Cytoplasm
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,cytoskeleton
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,microtubule organizing center
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,centrosome
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,Cytoplasm
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,cytoskeleton
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,spindle
nme7,7.763446388727362,7.957877358489813,7.640123172695364,7.908387159290043,7.755338812846501,7.798112628829788,Nucleus
inpp5d,1.6094379124341003,1.6094379124341003,0,2.1972245773362196,1.6094379124341003,0,Cell membrane
inpp5d,1.6094379124341003,1.6094379124341003,0,2.1972245773362196,1.6094379124341003,0,Cytoplasm
inpp5d,1.6094379124341003,1.6094379124341003,0,2.1972245773362196,1.6094379124341003,0,Cytoplasm
