GSM8333927 GSM8333928 GSM8333929 GSM8333930 GSM8333931 GSM8333932 GSM8333933 GSM8333934 GSM8333935 GSM8333936 GSM8333937 GSM8333938
 7.277978  7.131978  7.427237  7.066889  7.020416  7.073152  6.992364  6.747512  6.652117  6.853196  6.749189  6.940941
 5.130626  4.756628  5.056696  4.761069  5.406251  5.315576  5.167890  5.828435  5.135765  5.130626  5.335066  5.252322
 5.071264  4.990915  4.907863  4.845891  4.851270  4.775238  4.812352  4.929294  4.910781  4.998584  4.866455  4.878953
 5.558143  5.437103  4.840846  4.969209  5.109887  6.039634  5.551750  5.135765  5.062104  5.351355  5.638777  5.252322
 5.478678  5.695685  5.606418  5.449137  5.449248  5.543934  5.402930  5.438177  5.159813  5.325858  5.438261  5.356153
 5.400570  5.584690  5.669809  5.609526  5.437103  5.410497  5.377619  5.499557  5.261754  5.484866  5.288147  5.464590
12.292399 12.088696 11.771749 11.609982 11.720831 12.006469 11.702931 11.745889 12.927153 13.137658 12.960163 13.140030
13.037454 12.982939 12.945856 13.080715 12.776568 12.775033 12.872397 12.848583 13.219449 13.117925 13.061336 13.022996
10.954690 11.120124 10.731417 10.679674 10.719862 11.050735 10.803333 10.906759 10.982720 11.081144 11.150984 11.265744
12.135276 12.004166 12.191953 12.109931 11.723119 11.722238 11.954053 11.974999 11.969475 11.965331 12.010242 12.017140
 5.073062  5.002053  5.023216  4.959106  5.032129  4.993543  5.051991  4.919147  4.832671  4.943590  4.987900  4.899418
15.282672 15.233270 15.258604 15.379904 15.227782 15.171807 15.110685 15.122492 15.006755 15.018919 15.012777 14.856768
14.220680 14.084155 14.114058 14.186051 14.282559 14.165580 14.097066 13.904237 14.018260 13.941126 13.823906 13.855380
10.425294 10.650557 10.280470 10.563029 10.271696 10.283512 10.288639 10.352217  9.982208 10.164372  9.859877  9.797106
 5.893331  5.928176  6.071456  6.069380  5.968156  6.022407  6.001067  6.082938  6.167340  6.185846  6.114161  6.152346
 4.619534  4.562390  4.612606  4.515263  5.002834  4.920371  4.980148  4.787958  4.945096  4.937044  4.879743  4.786295
11.795309 11.497140 11.667607 11.391843 11.757490 11.835841 11.692775 11.665850 11.707283 11.823015 11.792812 11.799362
12.639904 12.550111 12.587772 12.553859 12.640898 12.639507 12.831277 12.789754 12.507693 12.419871 12.437305 12.378057
 5.530087  5.290621  5.361211  5.208104  5.664587  5.491971  5.552363  5.339376  5.632270  5.496999  5.520769  5.615199
11.881260 11.636022 11.638756 11.357641 11.674818 11.643271 11.650320 11.558296 11.316090 11.325979 11.157507 11.122755
 8.005808  8.059295  7.767986  7.820121  7.694440  7.669707  7.757885  7.816392  7.889322  7.765917  7.741687  7.336426
 6.770819  6.710682  6.662836  6.444865  7.404710  7.305219  7.419182  7.195488  7.026423  7.058796  6.919252  7.105377
 4.936211  4.995828  4.840846  4.842942  6.119618  5.014546  4.528213  4.908457  6.339317  4.269310  4.865800  4.623960
 8.961182  8.853735  8.620270  8.541123  8.446381  8.323140  8.309292  8.267317  8.306787  8.265733  8.114271  7.936093
11.900292 11.819584 11.632205 11.802764 11.366177 11.438408 11.310423 11.344207 11.655399 11.513591 11.456698 11.389833
 8.743472  8.533023  8.448765  8.185923  8.229979  8.017868  8.352107  8.333391  8.029620  8.133289  8.062062  8.001071
 7.182977  7.113191  6.886812  6.927327  7.074843  7.319840  6.981674  6.788505  6.922282  7.007454  6.933628  7.110645
 9.710034 10.058726  9.670791  9.738075 10.354265 10.337944 10.113487 10.162210  9.716177 10.024711  9.900535  9.952530
12.775451 12.670599 12.744656 12.691585 12.701911 12.646872 12.721377 12.585549 12.344844 12.261621 12.168543 12.290696
13.497537 13.341851 13.411754 13.287902 13.062075 13.145279 13.291356 13.280086 13.119925 13.124669 13.136099 13.234605
11.848799 11.738132 11.933826 12.160584 11.815213 11.445894 11.694127 11.803017 10.921323 10.672804 11.047856 10.635634
 6.719835  6.829608  6.631348  6.650323  6.283692  6.503019  6.449687  6.507321  6.776314  6.719265  6.600398  6.518183
 8.539981  8.361063  8.303926  8.237960  7.470828  7.637698  7.728101  7.503246  8.569297  8.482806  8.369481  8.366505
 8.650709  8.766412  8.863971  8.968726  8.880784  9.101132  9.014757  9.035511  9.242378  9.370065  9.375882  9.339501
13.682051 13.597242 13.510431 13.599171 13.407576 13.240441 13.368466 13.328720 13.181163 13.188606 13.147707 13.064798
 5.341890  5.541195  5.428976  5.500818  5.776861  5.769084  5.672050  5.755695  5.552561  5.788633  5.692094  5.622829
 5.045819  5.021965  4.887286  4.888302  4.736475  4.554032  4.645736  4.574360  4.740978  4.928335  4.704555  4.548905
 5.051781  4.945269  5.062556  5.138464  5.205032  4.968059  5.037282  5.198241  5.315336  5.281701  5.282942  5.386686
 4.954001  5.308035  5.260809  5.023829  5.393439  5.495923  5.456126  5.465151  5.437824  5.402074  5.521494  5.549039
 4.886270  4.951833  4.887286  5.067492  4.840846  4.886270  4.780884  4.928335  4.806888  4.984480  4.772111  4.894378
11.187081 10.997428 10.994417 10.867084 11.407611 11.319394 11.298323 11.231119 11.149181 11.121046 11.097965 11.315950
13.464672 13.344555 13.274211 13.290954 13.223438 13.191921 13.189021 13.062816 13.137716 13.066236 12.947251 12.999017
 4.995828  5.092374  4.743224  4.888302  4.959582  4.906454  5.029347  5.125469  4.865800  5.159505  4.838747  4.894378
 7.171389  6.909362  7.097630  7.300920  6.787101  6.929641  7.221869  6.937341  7.498876  7.269298  7.112850  7.454075
11.859536 11.652215 11.693956 11.495390 11.415112 11.368826 11.341385 11.268375 11.802512 11.758265 11.642234 11.739138
 4.995828  4.865800  4.982580  5.387705  5.379064  5.342493  5.125469  5.329097  5.343974  5.420357  5.544040  5.421760
10.815736 10.675942 10.853685 10.714930 10.516309 10.614178 10.551990 10.495375 10.810929 10.855429 10.733872 10.832497
11.103149 10.961208 11.015847 10.992529 10.715831 10.719043 10.901250 10.811676 10.749796 10.667265 10.625454 10.724980
 8.506107  8.253896  8.394960  8.096930  8.154642  8.166989  8.044659  8.008778  8.329497  8.207265  8.280103  8.554267
 8.504813  8.631756  8.892314  8.703598  9.111301  9.045239  9.264993  9.113753  9.009092  8.796028  8.774528  8.902548
 7.223914  7.443041  7.465492  7.305979  8.342405  8.507924  8.127625  8.454433  8.517962  8.853996  8.842453  8.940042
 6.090426  6.070611  6.046453  6.190790  5.795722  5.719705  6.146327  5.973870  5.413730  5.390568  5.410365  5.256192
 8.861963  8.840553  9.064157  9.008520  9.252496  8.946636  9.440504  9.220155  8.666931  8.529964  8.515171  8.749839
10.621275 10.465885 10.306882 10.200690 10.471254 10.514960 10.470393 10.436626 10.124283 10.200493 10.198009 10.281077
12.226334 12.172400 12.444827 12.488518 12.013444 11.951351 12.300106 12.363300 12.314248 12.285851 12.334748 12.274256
15.131349 15.069515 15.290050 15.577624 15.115449 15.083392 15.103816 15.057484 15.455910 15.350074 15.341852 15.420789
12.536646 12.497075 12.522337 12.519327 12.650712 12.774725 12.736764 12.750982 12.551237 12.484927 12.480221 12.471904
13.804760 13.891213 13.481654 13.622868 13.444728 13.742979 13.201721 13.559481 14.301296 14.629434 14.714185 14.619446
11.416947 11.707283 11.620741 11.654072 11.924593 11.974262 11.973268 12.031066 11.535210 11.644547 11.558566 11.523772
 4.868074  4.953579  5.060783  4.899220  4.716331  4.747739  4.826355  4.952001  4.950231  4.804435  4.879430  4.831431
