gene_id,MFF-CY-1,MFF-CY-2,MFF-CY-3,MFF-DY-1,MFF-DY-2,MFF-DY-3,subcellular_locations,source_organism
gtf2f2a|gtf2f2a,1429,1788,1503,1670,1317,1480,,not_found
LOC122879184|LOC122879184,163,194,154,205,122,187,,not_found
lncRNA-LOC122879236|LOC122879236,1655,1966,1831,1771,1320,1935,,not_found
snoRNA-LOC122882374|LOC122882374,11,15,14,10,11,11,,not_found
snoRNA-LOC122882368|LOC122882368,10,7,6,10,7,8,,not_found
gpalpp1|gpalpp1,1736,2083,1846,2050,1721,2114,,not_found
LOC122880162|LOC122880162,0,2,2,2,0,0,,not_found
ercc3|ercc3,3521,4014,3332,4509,3663,4047,Nucleus,7955
lncRNA-LOC122877474|LOC122877474,0,0,0,0,0,0,,not_found
obi1|obi1,17,31,15,45,23,5,Chromosome,9606
lncRNA-LOC122880050|LOC122880050,0,0,0,0,0,0,,not_found
rbm26|rbm26,2961,3477,3207,3532,2473,2973,,not_found
pcdh17|pcdh17,8,0,0,7,5,4,Cell membrane,9606
tdrd3|tdrd3,2150,2873,2245,2920,2172,2403,"Cytoplasm, Nucleus",7955
LOC122875815|LOC122875815,198,225,157,92,40,54,,not_found
nkpd1|nkpd1,49,69,84,63,35,70,Membrane,9606
LOC122873321|LOC122873321,2376,2824,2330,2519,1970,2411,,not_found
LOC122873315|LOC122873315,3441,4552,3479,5242,3662,4697,,not_found
tgfbrap1|tgfbrap1,1883,2469,2230,2903,2584,2652,"Cytoplasm, Early endosome",7955
cul4a|cul4a,2763,3374,2759,3459,2911,3100,,not_found
grtp1a|grtp1a,17,16,17,8,0,0,,not_found
lamp1a|lamp1a,14826,17411,14079,37091,30699,33515,,not_found
dcun1d2b|dcun1d2b,1438,1785,1246,2007,1501,1592,,not_found
tmco3|tmco3,2326,3106,2446,2631,1938,2304,"Cell membrane, Golgi apparatus membrane",9606
pros1|pros1,2354,2605,2280,2933,2521,2876,Secreted,9606
gas6|gas6,8540,10679,8645,5331,4386,4677,Secreted,9606
ercc5|ercc5,230,435,220,452,382,386,"Chromosome, Nucleus",9606
blzf1|blzf1,947,1258,1031,1327,1008,1058,"Cytoplasm, Golgi apparatus membrane, Nucleus",9606
trmt10c|trmt10c,605,753,600,919,771,897,"Mitochondrion matrix, mitochondrion nucleoid",9606
txnl4b|txnl4b,1391,1715,1437,1851,1564,1717,Nucleus,9606
LOC122878052|LOC122878052,22,20,13,25,6,24,,not_found
LOC122878100|LOC122878100,0,41,22,15,28,17,,not_found
LOC122878110|LOC122878110,29,29,59,28,23,21,,not_found
